User_ID,Region,Language_Preference,Subscription_Plan,Device_Type,Avg_Watch_Hours,Tenure_Months
1131,East India,Kannada,Standard,Smart TV,3.5,2
1132,Northeast India,Gujarati,Mobile,Smart TV,2.8,41
1133,West India,Malayalam,Premium,Mobile,2.0,36
1134,Northeast India,Malayalam,Mobile,Mobile,3.4,37
1135,East India,Tamil,Basic,Mobile,4.0,34
1136,East India,Gujarati,Basic,Smart TV,4.1,39
1137,West India,Tamil,Mobile,Mobile,3.0,19
1138,South India,Marathi,Basic,Mobile,2.3,38
1139,South India,Gujarati,Standard,Smart TV,2.7,23
1140,Northeast India,Marathi,Standard,Tablet,1.2,16
1141,North India,Bengali,Premium,Smart TV,2.1,46
1142,Northeast India,Bengali,Basic,Laptop,2.2,44
1143,West India,Marathi,Standard,Laptop,4.5,6
1144,West India,Bengali,Mobile,Mobile,4.5,26
1145,West India,Gujarati,Basic,Smart TV,6.1,22
1146,West India,Punjabi,Mobile,Mobile,3.8,45
1147,West India,Hindi,Basic,Laptop,2.9,47
1148,East India,Bengali,Basic,Smart TV,3.5,24
1149,South India,Bengali,Basic,Laptop,3.3,46
1150,West India,Tamil,Basic,Tablet,2.7,40
1151,North India,Marathi,Premium,Tablet,3.9,21
1152,North India,Telugu,Basic,Mobile,3.7,30
1153,North India,Kannada,Premium,Laptop,3.4,11
1154,North India,Malayalam,Standard,Tablet,3.1,9
1155,East India,Bengali,Basic,Mobile,4.3,12
1156,North India,Malayalam,Standard,Smart TV,2.8,26
1157,West India,Gujarati,Mobile,Smart TV,3.0,38
1158,Northeast India,Telugu,Standard,Smart TV,4.1,3
1159,North India,Kannada,Basic,Laptop,4.7,33
1160,East India,Marathi,Premium,Mobile,4.6,15
1161,East India,Hindi,Standard,Laptop,3.2,47
1162,North India,Kannada,Standard,Laptop,2.0,5
1163,Northeast India,Kannada,Standard,Mobile,3.2,24
1164,North India,Hindi,Basic,Mobile,3.6,11
1165,East India,Punjabi,Mobile,Smart TV,2.2,33
1166,South India,Marathi,Basic,Laptop,3.1,23
1167,West India,Tamil,Basic,Mobile,4.9,10
1168,East India,Malayalam,Mobile,Mobile,3.7,43
1169,North India,Bengali,Premium,Smart TV,2.9,28
1170,West India,Kannada,Basic,Tablet,3.5,39
1171,North India,Gujarati,Premium,Tablet,3.6,17
1172,North India,Hindi,Standard,Mobile,3.1,44
1173,South India,Malayalam,Basic,Mobile,4.4,26
1174,West India,Telugu,Premium,Laptop,1.3,25
1175,West India,Hindi,Basic,Smart TV,4.1,36
1176,South India,Telugu,Premium,Smart TV,2.8,12
1177,East India,Marathi,Basic,Mobile,4.8,3
1178,North India,Kannada,Basic,Smart TV,2.0,29
1179,Northeast India,Gujarati,Basic,Mobile,4.6,44
1180,North India,Bengali,Basic,Mobile,2.6,24
1181,North India,Telugu,Basic,Mobile,3.9,19
1182,East India,Malayalam,Basic,Smart TV,2.9,13
1183,North India,Punjabi,Basic,Mobile,4.9,16
1184,South India,Marathi,Premium,Mobile,3.3,40
1185,South India,Punjabi,Basic,Mobile,2.6,27
1186,West India,Marathi,Basic,Mobile,5.2,6
1187,Northeast India,Tamil,Standard,Tablet,3.2,42
1188,North India,Malayalam,Standard,Smart TV,4.1,10
1189,North India,Punjabi,Premium,Laptop,4.6,38
1190,East India,Gujarati,Basic,Smart TV,2.4,8
1191,South India,Kannada,Mobile,Mobile,4.0,18
1192,Northeast India,Hindi,Basic,Mobile,4.2,32
1193,West India,Bengali,Basic,Mobile,1.6,17
1194,South India,Kannada,Premium,Laptop,3.9,42
1195,West India,Kannada,Basic,Mobile,3.1,2
1196,East India,Marathi,Premium,Mobile,5.4,44
1197,East India,Gujarati,Basic,Laptop,4.5,20
1198,North India,Marathi,Premium,Smart TV,4.0,10
1199,Northeast India,Telugu,Mobile,Smart TV,1.1,9
1200,West India,Bengali,Premium,Smart TV,4.0,39
1201,South India,Telugu,Premium,Smart TV,2.6,41
1202,East India,Hindi,Premium,Mobile,4.5,25
1203,North India,Malayalam,Mobile,Mobile,3.3,25
1204,North India,Hindi,Mobile,Smart TV,2.9,24
1205,West India,Hindi,Standard,Smart TV,3.0,6
1206,East India,Tamil,Mobile,Laptop,3.1,30
1207,Northeast India,Bengali,Mobile,Laptop,1.9,10
1208,East India,Marathi,Mobile,Tablet,2.0,39
1209,West India,Gujarati,Basic,Tablet,3.1,31
1210,West India,Telugu,Basic,Tablet,5.4,18
1211,East India,Hindi,Mobile,Laptop,4.4,43
1212,West India,Telugu,Mobile,Mobile,4.5,33
1213,East India,Telugu,Basic,Smart TV,4.9,19
1214,South India,Malayalam,Basic,Mobile,3.8,23
1215,East India,Bengali,Mobile,Smart TV,3.0,5
1216,East India,Bengali,Basic,Laptop,3.0,26
1217,West India,Punjabi,Premium,Mobile,2.5,29
1218,West India,Kannada,Premium,Mobile,4.5,24
1219,North India,Bengali,Premium,Smart TV,2.4,6
1220,North India,Telugu,Premium,Mobile,6.0,39
1221,South India,Marathi,Basic,Mobile,2.4,4
1222,North India,Telugu,Standard,Smart TV,5.0,42
1223,East India,Marathi,Basic,Mobile,5.0,26
1224,West India,Punjabi,Standard,Smart TV,4.2,15
1225,North India,Marathi,Basic,Mobile,5.4,13
1226,North India,Bengali,Standard,Mobile,3.3,40
1227,South India,Malayalam,Basic,Laptop,3.7,22
1228,South India,Marathi,Mobile,Mobile,3.8,13
1229,East India,Telugu,Standard,Mobile,4.2,39
1230,West India,Gujarati,Mobile,Tablet,1.3,17
1231,South India,Bengali,Mobile,Mobile,3.4,36
1232,North India,Gujarati,Mobile,Mobile,4.5,39
1233,West India,Telugu,Basic,Mobile,3.1,25
1234,West India,Kannada,Mobile,Laptop,5.9,34
1235,North India,Punjabi,Premium,Mobile,3.7,21
1236,South India,Bengali,Basic,Mobile,4.1,25
1237,North India,Gujarati,Basic,Laptop,5.4,25
1238,West India,Telugu,Basic,Smart TV,3.7,22
1239,Northeast India,Kannada,Standard,Laptop,5.3,23
1240,Northeast India,Telugu,Standard,Mobile,4.2,25
1241,East India,Kannada,Standard,Mobile,4.2,14
1242,North India,Marathi,Standard,Laptop,2.4,14
1243,North India,Tamil,Premium,Smart TV,4.8,26
1244,East India,Telugu,Premium,Laptop,2.8,40
1245,East India,Marathi,Standard,Tablet,3.3,30
1246,East India,Bengali,Mobile,Mobile,5.0,26
1247,West India,Marathi,Standard,Tablet,3.1,38
1248,North India,Hindi,Basic,Smart TV,3.9,22
1249,West India,Hindi,Standard,Laptop,3.4,39
1250,East India,Telugu,Standard,Mobile,3.5,39
1251,North India,Gujarati,Standard,Mobile,3.3,34
1252,West India,Gujarati,Standard,Smart TV,2.3,25
1253,West India,Bengali,Mobile,Mobile,4.2,36
1254,East India,Marathi,Mobile,Smart TV,4.3,13
1255,North India,Gujarati,Mobile,Tablet,2.8,29
1256,East India,Kannada,Premium,Laptop,3.0,42
1257,North India,Kannada,Standard,Smart TV,4.6,9
1258,Northeast India,Bengali,Standard,Smart TV,3.2,15
1259,South India,Punjabi,Standard,Laptop,3.6,31
1260,South India,Marathi,Standard,Mobile,2.4,44
1261,South India,Telugu,Premium,Smart TV,3.4,27
1262,East India,Malayalam,Standard,Mobile,2.4,31
1263,Northeast India,Malayalam,Standard,Mobile,2.8,10
1264,North India,Malayalam,Standard,Smart TV,2.6,37
1265,West India,Gujarati,Mobile,Laptop,4.5,7
1266,North India,Punjabi,Standard,Mobile,1.9,32
1267,West India,Punjabi,Basic,Smart TV,3.8,11
1268,North India,Marathi,Mobile,Tablet,3.2,45
1269,Northeast India,Marathi,Standard,Mobile,5.2,28
1270,West India,Punjabi,Basic,Smart TV,4.4,4
1271,East India,Bengali,Premium,Smart TV,2.0,45
1272,North India,Marathi,Mobile,Smart TV,2.8,31
1273,North India,Bengali,Basic,Mobile,3.5,29
1274,West India,Hindi,Basic,Smart TV,2.8,33
1275,East India,Kannada,Mobile,Mobile,4.6,4
1276,East India,Marathi,Basic,Smart TV,3.7,47
1277,Northeast India,Punjabi,Mobile,Mobile,3.3,26
1278,East India,Kannada,Mobile,Laptop,4.7,31
1279,East India,Kannada,Mobile,Mobile,2.1,31
1280,East India,Tamil,Mobile,Mobile,3.2,27
1281,South India,Punjabi,Standard,Tablet,3.8,25
1282,Northeast India,Punjabi,Mobile,Mobile,3.3,36
1283,North India,Marathi,Standard,Mobile,0.5,31
1284,West India,Telugu,Standard,Mobile,3.9,43
1285,North India,Hindi,Basic,Laptop,4.1,37
1286,Northeast India,Bengali,Premium,Smart TV,2.3,45
1287,West India,Telugu,Standard,Mobile,0.9,44
1288,Northeast India,Hindi,Standard,Mobile,2.7,23
1289,East India,Telugu,Mobile,Mobile,3.3,35
1290,West India,Bengali,Standard,Laptop,3.4,4
1291,East India,Gujarati,Standard,Mobile,1.1,28
1292,North India,Punjabi,Basic,Smart TV,3.7,42
1293,North India,Telugu,Mobile,Tablet,4.7,41
1294,West India,Marathi,Basic,Smart TV,4.6,42
1295,West India,Malayalam,Standard,Smart TV,5.0,13
1296,Northeast India,Marathi,Basic,Mobile,2.0,1
1297,Northeast India,Bengali,Standard,Laptop,4.6,12
1298,East India,Marathi,Mobile,Laptop,2.4,43
1299,West India,Kannada,Standard,Tablet,4.4,40
1300,North India,Punjabi,Mobile,Smart TV,2.6,26
1301,Northeast India,Kannada,Mobile,Mobile,3.9,46
1302,Northeast India,Marathi,Basic,Smart TV,5.3,46
1303,North India,Hindi,Mobile,Laptop,4.6,23
1304,Northeast India,Tamil,Mobile,Mobile,2.4,22
1305,East India,Hindi,Mobile,Smart TV,2.1,28
1306,West India,Punjabi,Basic,Laptop,4.4,17
1307,North India,Punjabi,Premium,Mobile,5.1,6
1308,West India,Kannada,Standard,Mobile,4.0,14
1309,Northeast India,Tamil,Basic,Laptop,2.9,17
1310,Northeast India,Marathi,Mobile,Smart TV,3.6,38
1311,North India,Bengali,Basic,Smart TV,4.0,5
1312,East India,Hindi,Standard,Smart TV,3.4,13
1313,South India,Hindi,Basic,Mobile,2.4,9
1314,North India,Malayalam,Mobile,Smart TV,4.8,44
1315,South India,Tamil,Mobile,Mobile,5.8,42
1316,South India,Bengali,Standard,Smart TV,5.2,26
1317,East India,Hindi,Basic,Tablet,0.9,13
1318,South India,Bengali,Standard,Smart TV,4.9,19
1319,South India,Marathi,Basic,Smart TV,4.2,17
1320,East India,Bengali,Mobile,Smart TV,2.7,16
1321,South India,Hindi,Basic,Laptop,1.1,30
1322,South India,Kannada,Basic,Mobile,3.4,32
1323,South India,Tamil,Mobile,Laptop,3.9,14
1324,North India,Punjabi,Mobile,Laptop,2.2,15
1325,North India,Telugu,Mobile,Tablet,5.0,12
1326,North India,Gujarati,Mobile,Laptop,4.9,37
1327,East India,Gujarati,Basic,Smart TV,4.1,11
1328,Northeast India,Telugu,Premium,Laptop,1.9,5
1329,South India,Bengali,Basic,Tablet,3.2,11
1330,South India,Tamil,Standard,Tablet,4.4,34
1331,East India,Bengali,Basic,Smart TV,4.3,19
1332,South India,Punjabi,Basic,Mobile,2.7,26
1333,North India,Tamil,Mobile,Smart TV,2.8,26
1334,Northeast India,Telugu,Basic,Smart TV,2.6,17
1335,West India,Bengali,Basic,Laptop,3.2,31
1336,South India,Malayalam,Mobile,Tablet,2.9,19
1337,North India,Hindi,Standard,Mobile,2.7,44
1338,West India,Kannada,Basic,Laptop,3.3,20
1339,Northeast India,Kannada,Basic,Smart TV,3.5,23
1340,West India,Punjabi,Mobile,Smart TV,4.8,25
1341,North India,Bengali,Basic,Mobile,1.4,28
1342,West India,Marathi,Standard,Mobile,5.0,37
1343,East India,Tamil,Mobile,Laptop,2.6,12
1344,West India,Bengali,Mobile,Mobile,5.7,1
1345,South India,Tamil,Basic,Mobile,4.3,2
1346,South India,Malayalam,Mobile,Mobile,4.2,10
1347,East India,Kannada,Standard,Smart TV,3.4,34
1348,North India,Hindi,Standard,Tablet,6.0,32
1349,South India,Kannada,Mobile,Mobile,3.5,25
1350,Northeast India,Marathi,Mobile,Mobile,5.3,10
1351,South India,Marathi,Standard,Laptop,2.8,1
1352,South India,Gujarati,Mobile,Mobile,4.4,32
1353,North India,Gujarati,Mobile,Laptop,5.8,37
1354,West India,Marathi,Standard,Smart TV,2.5,12
1355,South India,Telugu,Basic,Smart TV,4.1,18
1356,East India,Malayalam,Basic,Tablet,2.7,30
1357,West India,Tamil,Mobile,Laptop,4.0,13
1358,Northeast India,Malayalam,Standard,Mobile,5.8,3
1359,North India,Punjabi,Basic,Mobile,2.4,21
1360,Northeast India,Hindi,Premium,Tablet,3.7,42
1361,West India,Malayalam,Standard,Smart TV,2.5,14
1362,West India,Marathi,Mobile,Smart TV,3.3,40
1363,West India,Kannada,Basic,Mobile,4.2,10
1364,Northeast India,Punjabi,Basic,Smart TV,3.1,2
1365,West India,Marathi,Basic,Smart TV,5.4,45
1366,Northeast India,Malayalam,Standard,Laptop,4.1,37
1367,West India,Kannada,Basic,Smart TV,1.9,11
1368,East India,Hindi,Mobile,Laptop,3.9,1
1369,West India,Malayalam,Standard,Mobile,5.3,26
1370,Northeast India,Tamil,Mobile,Mobile,4.2,42
1371,South India,Bengali,Standard,Mobile,3.8,13
1372,West India,Kannada,Standard,Mobile,3.1,28
1373,South India,Malayalam,Basic,Smart TV,3.4,36
1374,East India,Marathi,Mobile,Smart TV,3.5,21
1375,North India,Tamil,Standard,Laptop,0.6,10
1376,East India,Telugu,Standard,Smart TV,4.1,12
1377,West India,Kannada,Basic,Smart TV,4.7,46
1378,South India,Tamil,Mobile,Tablet,2.6,27
1379,South India,Marathi,Basic,Tablet,3.8,3
1380,Northeast India,Malayalam,Mobile,Mobile,3.9,28
1381,South India,Hindi,Mobile,Smart TV,4.5,2
1382,Northeast India,Bengali,Mobile,Laptop,3.5,28
1383,North India,Tamil,Mobile,Laptop,4.1,31
1384,West India,Bengali,Basic,Smart TV,2.1,43
1385,Northeast India,Hindi,Premium,Smart TV,2.3,21
1386,North India,Tamil,Standard,Laptop,4.0,7
1387,South India,Gujarati,Mobile,Tablet,3.2,31
1388,South India,Marathi,Basic,Laptop,1.6,14
1389,North India,Tamil,Basic,Smart TV,3.9,39
1390,South India,Marathi,Mobile,Mobile,2.0,39
1391,North India,Punjabi,Premium,Mobile,6.7,9
1392,Northeast India,Kannada,Basic,Smart TV,0.9,23
1393,Northeast India,Punjabi,Premium,Smart TV,3.6,12
1394,North India,Malayalam,Basic,Smart TV,2.2,29
1395,Northeast India,Kannada,Standard,Mobile,4.6,38
1396,Northeast India,Kannada,Mobile,Mobile,3.0,39
1397,Northeast India,Telugu,Basic,Laptop,4.7,22
1398,East India,Kannada,Mobile,Laptop,4.4,4
1399,West India,Hindi,Standard,Tablet,2.2,7
1400,South India,Punjabi,Standard,Laptop,2.6,40
1401,East India,Marathi,Standard,Smart TV,3.1,8
1402,Northeast India,Malayalam,Standard,Mobile,3.4,35
1403,North India,Kannada,Standard,Mobile,3.3,9
1404,Northeast India,Malayalam,Mobile,Smart TV,4.4,13
1405,West India,Malayalam,Basic,Tablet,3.8,39
1406,Northeast India,Kannada,Standard,Smart TV,2.8,20
1407,North India,Kannada,Standard,Mobile,2.4,21
1408,West India,Telugu,Standard,Mobile,2.5,47
1409,Northeast India,Telugu,Mobile,Mobile,3.9,19
1410,West India,Telugu,Mobile,Mobile,3.3,2
1411,South India,Marathi,Premium,Mobile,6.0,44
1412,South India,Marathi,Basic,Smart TV,3.5,40
1413,Northeast India,Telugu,Mobile,Smart TV,3.7,30
1414,West India,Telugu,Standard,Tablet,1.3,23
1415,North India,Gujarati,Premium,Smart TV,1.9,40
1416,Northeast India,Gujarati,Mobile,Smart TV,2.2,13
1417,South India,Kannada,Standard,Mobile,2.9,33
1418,South India,Bengali,Premium,Smart TV,1.7,32
1419,Northeast India,Bengali,Premium,Mobile,2.1,28
1420,West India,Telugu,Premium,Mobile,4.3,24
1421,South India,Malayalam,Basic,Laptop,2.5,42
1422,West India,Telugu,Basic,Laptop,3.5,28
1423,South India,Gujarati,Mobile,Smart TV,4.2,30
1424,South India,Kannada,Mobile,Mobile,4.6,41
1425,East India,Telugu,Basic,Smart TV,3.9,29
1426,South India,Punjabi,Basic,Smart TV,3.9,34
1427,North India,Malayalam,Mobile,Mobile,4.7,22
1428,Northeast India,Punjabi,Basic,Smart TV,4.0,25
1429,Northeast India,Kannada,Mobile,Mobile,4.7,14
1430,West India,Kannada,Standard,Laptop,0.9,10
1431,South India,Marathi,Mobile,Laptop,3.4,10
1432,North India,Tamil,Basic,Laptop,3.6,8
1433,West India,Punjabi,Basic,Smart TV,3.4,14
1434,East India,Marathi,Mobile,Mobile,3.6,45
1435,West India,Gujarati,Premium,Smart TV,3.0,38
1436,West India,Hindi,Basic,Mobile,4.4,32
1437,South India,Malayalam,Basic,Smart TV,2.9,45
1438,East India,Hindi,Mobile,Smart TV,3.2,32
1439,West India,Gujarati,Basic,Mobile,5.2,3
1440,North India,Gujarati,Mobile,Laptop,5.1,20
1441,North India,Hindi,Basic,Laptop,3.7,13
1442,Northeast India,Punjabi,Basic,Mobile,2.7,23
1443,East India,Tamil,Premium,Mobile,1.5,19
1444,East India,Punjabi,Standard,Mobile,3.3,16
1445,Northeast India,Hindi,Mobile,Mobile,4.1,36
1446,West India,Punjabi,Mobile,Smart TV,2.6,35
1447,East India,Bengali,Basic,Laptop,3.5,47
1448,North India,Punjabi,Mobile,Mobile,3.1,47
1449,North India,Kannada,Mobile,Smart TV,1.4,7
1450,South India,Marathi,Standard,Smart TV,3.6,37
1451,East India,Malayalam,Mobile,Smart TV,4.0,8
1452,West India,Punjabi,Standard,Mobile,3.7,25
1453,Northeast India,Tamil,Mobile,Laptop,5.4,23
1454,Northeast India,Tamil,Premium,Mobile,3.1,10
1455,West India,Punjabi,Standard,Mobile,3.0,30
1456,South India,Telugu,Standard,Tablet,6.1,33
1457,Northeast India,Gujarati,Mobile,Smart TV,2.0,11
1458,East India,Punjabi,Premium,Smart TV,2.8,35
1459,South India,Gujarati,Standard,Mobile,3.9,27
1460,East India,Bengali,Standard,Laptop,4.9,3
1461,North India,Hindi,Basic,Mobile,4.6,47
1462,South India,Bengali,Standard,Mobile,2.3,8
1463,Northeast India,Punjabi,Mobile,Tablet,5.5,13
1464,South India,Tamil,Basic,Laptop,4.1,42
1465,South India,Telugu,Standard,Smart TV,2.5,3
1466,South India,Gujarati,Basic,Laptop,2.6,20
1467,South India,Marathi,Mobile,Smart TV,3.6,46
1468,East India,Gujarati,Basic,Mobile,6.1,45
1469,North India,Kannada,Standard,Smart TV,3.8,35
1470,West India,Malayalam,Mobile,Mobile,6.1,13
1471,South India,Punjabi,Mobile,Mobile,4.6,20
1472,Northeast India,Bengali,Mobile,Laptop,2.0,24
1473,South India,Marathi,Standard,Mobile,5.2,9
1474,Northeast India,Tamil,Mobile,Mobile,2.4,30
1475,East India,Tamil,Standard,Smart TV,2.8,25
1476,Northeast India,Tamil,Basic,Tablet,3.8,16
1477,West India,Kannada,Standard,Laptop,3.5,8
1478,North India,Tamil,Premium,Smart TV,4.6,44
1479,Northeast India,Tamil,Mobile,Tablet,4.1,28
1480,Northeast India,Punjabi,Basic,Mobile,3.4,12
1481,North India,Kannada,Standard,Mobile,5.5,24
1482,West India,Telugu,Mobile,Laptop,2.9,29
1483,South India,Telugu,Mobile,Smart TV,2.3,15
1484,Northeast India,Kannada,Standard,Tablet,4.1,18
1485,North India,Malayalam,Premium,Mobile,3.5,7
1486,East India,Marathi,Basic,Smart TV,3.8,13
1487,North India,Gujarati,Mobile,Laptop,4.4,19
1488,East India,Punjabi,Basic,Laptop,3.3,43
1489,West India,Hindi,Mobile,Smart TV,5.7,5
1490,South India,Telugu,Standard,Smart TV,3.8,26
1491,North India,Kannada,Standard,Laptop,3.0,2
1492,Northeast India,Marathi,Premium,Smart TV,4.2,33
1493,West India,Kannada,Mobile,Tablet,3.4,37
1494,North India,Gujarati,Basic,Laptop,3.6,25
1495,Northeast India,Marathi,Mobile,Mobile,2.2,25
1496,North India,Telugu,Basic,Mobile,2.3,39
1497,East India,Tamil,Standard,Mobile,4.8,30
1498,North India,Kannada,Mobile,Mobile,2.0,41
1499,North India,Hindi,Standard,Laptop,3.4,4
1500,North India,Telugu,Standard,Tablet,3.9,19
1501,West India,Bengali,Premium,Mobile,5.2,27
1502,North India,Hindi,Standard,Mobile,2.9,47
1503,Northeast India,Malayalam,Standard,Smart TV,4.4,39
1504,East India,Telugu,Basic,Mobile,3.4,24
1505,East India,Tamil,Mobile,Mobile,0.9,37
1506,North India,Telugu,Basic,Mobile,3.6,25
