Order_ID,Customer_ID,Restaurant_Name,Food_Category,Order_Amount,Delivery_Time_Minutes,Payment_Mode,Customer_Rating,Promo_Used,Order_Date,Delivery_Area,Fast_Delivery
3011,263,Biryani House,Biryani,400,50,Card,5,Yes,3/18/2023,Zone 3,Slow
1342,253,Taco Land,Taco,400,20,Cash,1,No,2/10/2023,Zone 1,Fast
5235,240,Sushi Place,Burger,300,45,Wallet,2,No,2/5/2023,Zone 3,Slow
3709,833,Sushi Place,Biryani,350,25,Card,2,No,3/16/2023,Zone 1,Fast
3521,113,Sushi Place,Taco,285,50,Cash,4,Yes,3/30/2023,Zone 3,Slow
4687,110,Pizza Hub,Pizza,250,30,Cash,2,No,2/16/2023,Zone 3,Fast
2513,373,Pizza Hub,Pizza,300,20,Card,1,No,3/28/2023,Zone 2,Fast
5099,313,Biryani House,Biryani,240,20,Card,1,No,1/2/2023,Zone 3,Fast
4331,584,Sushi Place,Pizza,240,40,Wallet,1,No,2/27/2023,Zone 3,Slow
5851,106,Sushi Place,Burger,250,30,Wallet,1,No,1/20/2023,Zone 2,Fast
4064,165,Taco Land,Biryani,400,40,Cash,1,Yes,2/10/2023,Zone 1,Slow
2246,842,Burger Town,Pizza,250,20,Wallet,1,Yes,3/25/2023,Zone 3,Fast
1262,699,Pizza Hub,Taco,240,40,Card,1,No,2/6/2023,Zone 1,Slow
2111,462,Biryani House,Burger,350,40,Wallet,1,No,1/16/2023,Zone 1,Slow
2038,824,Biryani House,Biryani,240,45,Wallet,4,Yes,1/2/2023,Zone 2,Slow
3937,244,Biryani House,Biryani,250,40,Wallet,3,Yes,3/20/2023,Zone 1,Slow
2222,736,Biryani House,Burger,250,30,Card,3,No,2/6/2023,Zone 1,Fast
1438,918,Biryani House,Biryani,300,30,Cash,1,Yes,3/23/2023,Zone 3,Fast
3587,734,Pizza Hub,Sushi,300,20,Cash,2,No,2/14/2023,Zone 3,Fast
3854,507,Sushi Place,Pizza,285,40,Cash,3,Yes,3/18/2023,Zone 3,Slow
5029,198,Biryani House,Biryani,300,30,Wallet,4,No,2/25/2023,Zone 3,Fast
2902,633,Taco Land,Burger,400,50,Card,4,Yes,1/6/2023,Zone 3,Slow
4914,599,Biryani House,Taco,285,40,Cash,2,No,3/5/2023,Zone 3,Slow
1867,300,Burger Town,Pizza,350,50,Wallet,2,No,2/25/2023,Zone 2,Slow
4700,738,Pizza Hub,Biryani,300,35,Wallet,4,No,3/9/2023,Zone 3,Slow
5195,818,Pizza Hub,Sushi,350,50,Wallet,2,No,2/11/2023,Zone 2,Slow
3241,121,Biryani House,Taco,285,45,Cash,3,No,3/8/2023,Zone 2,Slow
3863,237,Biryani House,Pizza,240,30,Cash,3,No,2/3/2023,Zone 3,Fast
3541,718,Pizza Hub,Pizza,250,50,Card,5,Yes,3/28/2023,Zone 3,Slow
5112,659,Biryani House,Biryani,300,40,Wallet,1,Yes,3/31/2023,Zone 1,Slow
2669,929,Taco Land,Pizza,250,45,Wallet,4,No,3/12/2023,Zone 3,Slow
2133,213,Burger Town,Burger,400,30,Card,3,Yes,3/26/2023,Zone 3,Fast
5142,680,Biryani House,Biryani,300,50,Cash,2,Yes,1/17/2023,Zone 3,Slow
1271,237,Taco Land,Pizza,240,50,Wallet,1,Yes,3/10/2023,Zone 1,Slow
4387,632,Pizza Hub,Pizza,240,35,Wallet,5,Yes,1/13/2023,Zone 3,Slow
4481,878,Biryani House,Pizza,354,25,Wallet,4,Yes,1/20/2023,Zone 3,Fast
4373,480,Pizza Hub,Pizza,300,40,Cash,2,Yes,3/29/2023,Zone 2,Slow
4505,215,Pizza Hub,Pizza,350,25,Cash,3,Yes,3/28/2023,Zone 1,Fast
2443,358,Pizza Hub,Pizza,400,25,Wallet,1,No,1/23/2023,Zone 2,Fast
4997,826,Biryani House,Biryani,285,30,Card,5,No,1/22/2023,Zone 3,Fast
1979,853,Pizza Hub,Pizza,350,35,Wallet,4,No,3/19/2023,Zone 2,Slow
1836,464,Taco Land,Sushi,250,45,Card,4,No,2/1/2023,Zone 2,Slow
4933,149,Pizza Hub,Biryani,250,40,Card,2,No,3/4/2023,Zone 2,Slow
2510,202,Taco Land,Taco,240,30,Card,3,Yes,3/14/2023,Zone 3,Fast
3108,958,Taco Land,Biryani,350,45,Card,5,Yes,3/7/2023,Zone 3,Slow
1321,442,Biryani House,Burger,300,45,Cash,2,No,2/23/2023,Zone 2,Slow
4956,985,Taco Land,Biryani,400,25,Cash,3,Yes,3/9/2023,Zone 2,Fast
5862,789,Pizza Hub,Burger,240,50,Card,1,No,3/4/2023,Zone 1,Slow
2996,398,Pizza Hub,Taco,250,20,Card,2,No,1/14/2023,Zone 1,Fast
1323,108,Sushi Place,Sushi,240,30,Card,1,No,2/18/2023,Zone 1,Fast
1819,231,Burger Town,Biryani,285,40,Wallet,3,No,3/4/2023,Zone 2,Slow
4719,210,Taco Land,Biryani,240,30,Card,1,No,3/9/2023,Zone 3,Fast
1998,876,Burger Town,Pizza,240,25,Cash,4,Yes,1/1/2023,Zone 3,Fast
5184,812,Biryani House,Biryani,285,40,Card,1,Yes,2/21/2023,Zone 1,Slow
5508,817,Burger Town,Pizza,250,45,Wallet,1,Yes,3/30/2023,Zone 1,Slow
2343,433,Taco Land,Pizza,285,40,Cash,1,No,2/19/2023,Zone 1,Slow
5436,401,Taco Land,Taco,400,35,Card,1,No,3/27/2023,Zone 1,Slow
5004,334,Sushi Place,Biryani,250,50,Wallet,2,Yes,3/30/2023,Zone 2,Slow
3528,202,Biryani House,Burger,300,40,Cash,1,No,1/30/2023,Zone 1,Slow
2401,510,Biryani House,Biryani,285,25,Cash,2,Yes,1/15/2023,Zone 2,Fast
1424,154,Pizza Hub,Pizza,285,20,Card,3,Yes,3/27/2023,Zone 1,Fast
3810,822,Pizza Hub,Taco,240,40,Card,3,No,3/25/2023,Zone 3,Slow
5173,222,Pizza Hub,Pizza,240,25,Wallet,1,Yes,3/6/2023,Zone 1,Fast
3056,834,Biryani House,Biryani,250,20,Card,1,No,1/8/2023,Zone 1,Fast
5486,357,Burger Town,Biryani,400,30,Wallet,3,Yes,3/30/2023,Zone 3,Fast
5648,747,Biryani House,Biryani,400,20,Cash,3,Yes,2/13/2023,Zone 3,Fast
4959,714,Sushi Place,Biryani,250,25,Cash,3,Yes,2/7/2023,Zone 1,Fast
2994,688,Pizza Hub,Taco,285,25,Wallet,3,No,2/18/2023,Zone 3,Fast
1460,759,Biryani House,Taco,240,45,Wallet,3,No,2/15/2023,Zone 2,Slow
4737,510,Taco Land,Taco,400,45,Cash,2,No,3/25/2023,Zone 3,Slow
2514,856,Taco Land,Burger,285,35,Wallet,2,No,2/1/2023,Zone 2,Slow
5731,783,Pizza Hub,Burger,285,25,Wallet,5,No,2/14/2023,Zone 2,Fast
2521,878,Pizza Hub,Pizza,240,40,Card,1,No,2/5/2023,Zone 1,Slow
5231,438,Biryani House,Biryani,285,50,Cash,3,No,3/29/2023,Zone 1,Slow
2452,165,Sushi Place,Burger,240,25,Card,4,No,3/25/2023,Zone 3,Fast
1763,228,Sushi Place,Pizza,240,50,Card,4,Yes,3/2/2023,Zone 3,Slow
4329,298,Biryani House,Biryani,400,30,Card,1,No,3/29/2023,Zone 1,Fast
2230,400,Sushi Place,Sushi,250,25,Card,1,No,3/3/2023,Zone 1,Fast
4512,506,Sushi Place,Pizza,285,30,Cash,3,No,2/24/2023,Zone 2,Fast
5671,969,Burger Town,Sushi,300,45,Card,2,No,3/8/2023,Zone 3,Slow
1481,985,Pizza Hub,Biryani,400,35,Wallet,3,No,2/28/2023,Zone 1,Slow
3563,220,Taco Land,Sushi,350,35,Card,5,No,1/13/2023,Zone 3,Slow
1017,514,Pizza Hub,Burger,350,60,Cash,2,Yes,3/10/2023,Zone 2,Slow
5846,891,Biryani House,Biryani,350,50,Cash,4,No,2/27/2023,Zone 3,Slow
4287,477,Taco Land,Sushi,400,40,Wallet,3,No,3/2/2023,Zone 2,Slow
5293,469,Pizza Hub,Taco,250,20,Cash,1,Yes,1/23/2023,Zone 2,Fast
3657,891,Biryani House,Pizza,300,20,Wallet,1,No,3/16/2023,Zone 1,Fast
3610,503,Pizza Hub,Taco,300,25,Card,3,Yes,1/21/2023,Zone 3,Fast
4429,388,Burger Town,Pizza,400,25,Cash,1,No,1/22/2023,Zone 2,Fast
1557,498,Taco Land,Pizza,400,35,Cash,3,Yes,3/5/2023,Zone 1,Slow
1931,560,Taco Land,Taco,400,35,Wallet,1,Yes,1/8/2023,Zone 3,Slow
3523,598,Taco Land,Pizza,300,35,Wallet,5,No,3/9/2023,Zone 2,Slow
1686,141,Burger Town,Pizza,400,45,Wallet,2,Yes,1/31/2023,Zone 1,Slow
5022,805,Sushi Place,Biryani,355,25,Card,4,Yes,2/15/2023,Zone 2,Fast
3551,855,Burger Town,Taco,240,40,Card,1,Yes,3/19/2023,Zone 1,Slow
5169,307,Taco Land,Sushi,400,30,Card,5,No,2/8/2023,Zone 1,Fast
3622,234,Biryani House,Pizza,285,20,Wallet,3,No,2/25/2023,Zone 1,Fast
2731,719,Pizza Hub,Biryani,240,40,Card,1,No,3/27/2023,Zone 2,Slow
2675,984,Biryani House,Biryani,240,35,Card,4,No,2/24/2023,Zone 2,Slow
3140,610,Pizza Hub,Burger,250,40,Wallet,2,Yes,2/10/2023,Zone 1,Slow
3507,948,Biryani House,Taco,285,40,Card,2,No,1/29/2023,Zone 2,Slow
4978,363,Taco Land,Biryani,400,25,Card,4,No,1/12/2023,Zone 2,Fast
3947,100,Pizza Hub,Pizza,250,40,Card,5,No,2/14/2023,Zone 3,Slow
5538,453,Pizza Hub,Biryani,240,30,Card,3,No,1/3/2023,Zone 1,Fast
1407,868,Pizza Hub,Biryani,300,35,Card,1,No,3/24/2023,Zone 1,Slow
1281,213,Pizza Hub,Taco,400,30,Wallet,4,Yes,1/11/2023,Zone 3,Fast
3843,589,Burger Town,NA,300,35,Card,1,No,3/1/2023,Zone 1,Slow
1441,695,Taco Land,Biryani,300,45,Wallet,2,Yes,3/9/2023,Zone 2,Slow
5718,955,Biryani House,Taco,400,30,Card,3,No,1/29/2023,Zone 2,Fast
4579,999,Burger Town,Burger,300,20,Wallet,3,Yes,1/20/2023,Zone 3,Fast
5355,226,Pizza Hub,Pizza,285,40,Wallet,3,No,2/23/2023,Zone 2,Slow
3766,722,Biryani House,Biryani,250,35,Wallet,1,No,3/8/2023,Zone 1,Slow
4003,219,Biryani House,Pizza,300,30,Wallet,4,Yes,1/31/2023,Zone 3,Fast
4574,693,Pizza Hub,Taco,250,25,Wallet,3,Yes,1/5/2023,Zone 2,Fast
3480,658,Pizza Hub,Taco,300,30,Cash,3,No,1/9/2023,Zone 1,Fast
2336,601,Pizza Hub,Burger,300,30,Card,3,No,1/3/2023,Zone 1,Fast
1855,354,Biryani House,Taco,240,35,Wallet,2,No,2/4/2023,Zone 2,Slow
1612,976,Biryani House,Biryani,300,45,Cash,4,No,3/15/2023,Zone 3,Slow
5421,293,Taco Land,Burger,240,30,Cash,1,No,2/5/2023,Zone 1,Fast
3360,737,Biryani House,Taco,250,40,Cash,4,No,1/5/2023,Zone 2,Slow
3620,194,Biryani House,Biryani,300,30,Wallet,1,No,3/2/2023,Zone 1,Fast
3721,821,Burger Town,Pizza,300,30,Cash,4,No,3/3/2023,Zone 2,Fast
3684,628,Burger Town,Burger,285,50,Cash,5,Yes,3/21/2023,Zone 2,Slow
4465,661,Biryani House,Biryani,240,35,Wallet,2,No,2/25/2023,Zone 3,Slow
4323,289,Biryani House,Burger,400,30,Card,3,No,1/1/2023,Zone 2,Fast
5418,894,Biryani House,Biryani,400,30,Wallet,2,Yes,3/22/2023,Zone 2,Fast
4082,641,Biryani House,Biryani,400,40,Wallet,5,Yes,3/31/2023,Zone 1,Slow
2764,623,Burger Town,Burger,350,35,Wallet,2,No,2/24/2023,Zone 1,Slow
2795,280,Sushi Place,Sushi,350,20,Card,4,No,1/15/2023,Zone 3,Fast
2968,991,Biryani House,Burger,350,25,Wallet,4,Yes,2/21/2023,Zone 2,Fast
1731,812,Biryani House,Pizza,300,40,Cash,1,Yes,2/15/2023,Zone 1,Slow
5386,531,Biryani House,Pizza,240,50,Cash,4,Yes,3/5/2023,Zone 3,Slow
4365,368,Pizza Hub,Sushi,300,45,Wallet,4,No,1/25/2023,Zone 2,Slow
4377,719,Pizza Hub,Biryani,285,40,Wallet,1,Yes,2/18/2023,Zone 1,Slow
5951,745,Biryani House,Burger,300,35,Card,1,No,2/15/2023,Zone 2,Slow
5761,825,Biryani House,Biryani,285,20,Wallet,1,Yes,3/19/2023,Zone 2,Fast
1194,160,Burger Town,Pizza,400,40,Cash,3,No,3/9/2023,Zone 3,Slow
4082,420,Burger Town,Pizza,240,45,Card,1,No,1/23/2023,Zone 1,Slow
1757,121,Biryani House,Biryani,285,25,Cash,3,No,3/10/2023,Zone 3,Fast
2305,724,Taco Land,Biryani,400,40,Cash,5,No,1/7/2023,Zone 1,Slow
5451,543,Biryani House,Burger,285,35,Wallet,1,No,2/12/2023,Zone 1,Slow
4651,620,Biryani House,Biryani,250,40,Cash,1,Yes,2/11/2023,Zone 3,Slow
4393,652,Biryani House,Taco,240,30,Cash,1,No,1/23/2023,Zone 1,Fast
3567,311,Burger Town,Pizza,285,45,Wallet,3,No,1/23/2023,Zone 2,Slow
1454,980,Biryani House,Pizza,400,35,Cash,5,No,1/10/2023,Zone 2,Slow
2891,944,Pizza Hub,Pizza,250,45,Wallet,1,No,1/4/2023,Zone 1,Slow
4751,173,Burger Town,Pizza,240,25,Card,1,Yes,2/26/2023,Zone 1,Fast
4026,207,Taco Land,Pizza,300,50,Cash,1,No,2/21/2023,Zone 1,Slow
3185,212,Pizza Hub,Taco,240,25,Cash,1,No,3/20/2023,Zone 3,Fast
3216,747,Burger Town,Taco,240,20,Card,1,No,1/23/2023,Zone 1,Fast
2513,140,Biryani House,Pizza,240,45,Cash,4,No,2/26/2023,Zone 3,Slow
1744,955,Sushi Place,Pizza,250,20,Card,1,No,3/14/2023,Zone 1,Fast
4116,671,Pizza Hub,Pizza,240,35,Card,4,No,2/26/2023,Zone 3,Slow
1604,472,Biryani House,Taco,240,30,Wallet,4,No,2/18/2023,Zone 3,Fast
4047,772,Pizza Hub,Sushi,300,60,Card,1,No,2/3/2023,Zone 3,Slow
2132,714,Biryani House,Taco,400,35,Cash,1,Yes,2/3/2023,Zone 1,Slow
3621,571,Biryani House,Biryani,400,20,Wallet,1,No,1/30/2023,Zone 1,Fast
5343,843,Biryani House,Pizza,300,45,Wallet,1,Yes,3/13/2023,Zone 2,Slow
4831,951,Burger Town,Biryani,300,35,Wallet,2,No,3/23/2023,Zone 3,Slow
4086,608,Burger Town,Taco,400,45,Wallet,1,Yes,3/20/2023,Zone 2,Slow
3878,719,Biryani House,Burger,250,50,Card,1,Yes,2/8/2023,Zone 3,Slow
1924,235,Biryani House,Biryani,400,35,Cash,1,No,1/10/2023,Zone 1,Slow
3640,145,Biryani House,Biryani,350,25,Cash,5,Yes,2/25/2023,Zone 3,Fast
3800,924,Pizza Hub,Biryani,400,20,Cash,5,No,3/23/2023,Zone 3,Fast
4224,834,Sushi Place,Pizza,400,30,Cash,1,Yes,1/30/2023,Zone 1,Fast
2150,158,Burger Town,Burger,250,35,Cash,1,Yes,2/22/2023,Zone 3,Slow
3191,367,Biryani House,Burger,285,25,Card,4,No,1/30/2023,Zone 2,Fast
3512,788,Pizza Hub,Biryani,400,20,Wallet,2,No,3/24/2023,Zone 2,Fast
1639,674,Biryani House,Biryani,300,50,Cash,5,No,2/8/2023,Zone 3,Slow
5590,729,Taco Land,Biryani,350,35,Cash,3,Yes,1/19/2023,Zone 1,Slow
4054,786,Biryani House,Biryani,250,40,Card,1,Yes,3/24/2023,Zone 3,Slow
4668,111,Biryani House,Burger,300,20,Card,3,Yes,1/13/2023,Zone 2,Fast
2771,758,Taco Land,Biryani,300,20,Wallet,4,No,1/14/2023,Zone 3,Fast
5981,843,Pizza Hub,Burger,400,25,Wallet,5,No,2/11/2023,Zone 3,Fast
5245,661,Pizza Hub,Pizza,250,35,Card,4,No,1/14/2023,Zone 1,Slow
1544,505,Pizza Hub,Pizza,300,25,Card,3,Yes,2/5/2023,Zone 3,Fast
2639,899,Burger Town,Burger,285,40,Cash,4,No,1/9/2023,Zone 3,Slow
2594,128,Biryani House,Pizza,250,20,Wallet,4,Yes,1/24/2023,Zone 1,Fast
5584,571,Taco Land,Biryani,250,35,Cash,2,No,1/12/2023,Zone 3,Slow
3838,706,Taco Land,Pizza,350,50,Wallet,2,No,1/29/2023,Zone 2,Slow
5149,448,Taco Land,Sushi,300,25,Card,4,No,2/6/2023,Zone 1,Fast
3009,874,Sushi Place,Burger,300,35,Wallet,4,No,3/3/2023,Zone 3,Slow
1330,161,Sushi Place,Biryani,350,25,Wallet,2,No,3/1/2023,Zone 1,Fast
3543,238,Biryani House,Biryani,250,50,Cash,2,No,2/24/2023,Zone 3,Slow
3944,569,Sushi Place,Sushi,250,30,Wallet,2,No,2/6/2023,Zone 1,Fast
4875,937,Biryani House,Biryani,240,25,Cash,1,No,1/17/2023,Zone 2,Fast
1881,172,Biryani House,Pizza,250,20,Wallet,3,No,1/24/2023,Zone 1,Fast
4155,659,Biryani House,Burger,350,45,Wallet,3,No,1/25/2023,Zone 1,Slow
5679,148,Burger Town,Biryani,300,40,Wallet,3,No,2/8/2023,Zone 2,Slow
4573,370,Sushi Place,Sushi,400,20,Card,4,No,2/25/2023,Zone 1,Fast
5982,850,Sushi Place,Burger,400,25,Wallet,5,No,1/25/2023,Zone 2,Fast
4406,785,Biryani House,Burger,240,30,Cash,1,Yes,2/20/2023,Zone 3,Fast
4101,526,Pizza Hub,Pizza,285,50,Card,2,Yes,2/11/2023,Zone 3,Slow
1293,873,Burger Town,Taco,250,25,Wallet,4,No,2/14/2023,Zone 1,Fast
5097,946,Biryani House,Biryani,300,45,Cash,2,Yes,1/17/2023,Zone 2,Slow
1133,337,Biryani House,Pizza,250,25,Card,4,Yes,3/5/2023,Zone 1,Fast
3637,965,Sushi Place,Biryani,400,40,Cash,3,Yes,2/25/2023,Zone 3,Slow
1609,734,Biryani House,Pizza,400,45,Card,4,Yes,3/21/2023,Zone 2,Slow
5725,256,Sushi Place,Taco,250,35,Cash,2,No,1/29/2023,Zone 1,Slow
5550,517,Biryani House,Biryani,300,20,Wallet,1,No,1/18/2023,Zone 3,Fast
3490,654,Pizza Hub,Biryani,300,35,Cash,3,No,1/31/2023,Zone 1,Slow
5501,215,Burger Town,Pizza,240,45,Card,2,Yes,2/10/2023,Zone 3,Slow
4358,564,Biryani House,Burger,300,45,Cash,5,No,1/20/2023,Zone 2,Slow
1464,908,Biryani House,Biryani,400,40,Cash,1,No,1/9/2023,Zone 3,Slow
4230,771,Taco Land,Burger,250,35,Wallet,5,No,3/27/2023,Zone 3,Slow
4084,131,Burger Town,Burger,250,40,Cash,2,Yes,1/8/2023,Zone 1,Slow
4539,623,Biryani House,Burger,400,35,Card,4,No,2/2/2023,Zone 3,Slow
4622,273,Taco Land,Pizza,400,60,Card,1,No,2/22/2023,Zone 2,Slow
2378,636,Burger Town,Burger,300,60,Cash,1,No,1/1/2023,Zone 2,Slow
2543,259,Sushi Place,Pizza,400,40,Cash,5,No,2/17/2023,Zone 3,Slow
3666,115,Biryani House,Biryani,240,40,Card,5,Yes,1/17/2023,Zone 2,Slow
1014,857,Pizza Hub,Pizza,250,50,Cash,5,Yes,2/19/2023,Zone 3,Slow
5721,371,Sushi Place,Pizza,300,25,Card,3,No,3/14/2023,Zone 3,Fast
5736,499,Pizza Hub,Taco,400,30,Wallet,3,No,1/18/2023,Zone 3,Fast
5576,833,Biryani House,Pizza,285,40,Wallet,1,No,3/28/2023,Zone 3,Slow
2061,265,Taco Land,Biryani,250,50,Card,3,No,3/16/2023,Zone 1,Slow
5541,134,Sushi Place,Biryani,300,45,Cash,1,No,2/21/2023,Zone 3,Slow
3574,248,Taco Land,Taco,350,25,Cash,5,No,2/24/2023,Zone 2,Fast
1892,416,Burger Town,Burger,285,50,Cash,4,Yes,3/21/2023,Zone 2,Slow
1361,732,Biryani House,Taco,300,50,Cash,3,No,2/18/2023,Zone 3,Slow
2105,259,Biryani House,Burger,400,30,Wallet,1,Yes,3/11/2023,Zone 1,Fast
5645,262,Taco Land,Taco,285,40,Wallet,4,No,1/5/2023,Zone 2,Slow
3270,410,Pizza Hub,Pizza,240,40,Wallet,2,Yes,2/18/2023,Zone 1,Slow
2427,209,Pizza Hub,Pizza,300,25,Cash,4,No,3/22/2023,Zone 1,Fast
3490,634,Biryani House,Biryani,240,30,Cash,5,No,3/18/2023,Zone 3,Fast
4078,525,Pizza Hub,Burger,400,20,Card,1,No,2/7/2023,Zone 1,Fast
4940,535,Biryani House,Biryani,400,30,Cash,3,No,1/3/2023,Zone 3,Fast
3010,494,Biryani House,Burger,300,50,Cash,3,No,1/9/2023,Zone 3,Slow
4655,985,Pizza Hub,Sushi,285,45,Card,2,No,1/16/2023,Zone 1,Slow
1845,585,Biryani House,Taco,250,45,Card,5,No,3/1/2023,Zone 3,Slow
3289,485,Burger Town,Burger,400,25,Cash,2,Yes,2/19/2023,Zone 2,Fast
4918,941,Taco Land,Biryani,400,40,Cash,1,Yes,2/4/2023,Zone 1,Slow
4937,212,Biryani House,Burger,285,35,Wallet,3,Yes,1/14/2023,Zone 1,Slow
4200,128,Biryani House,Pizza,285,30,Card,4,No,1/17/2023,Zone 2,Fast
2128,293,Pizza Hub,Sushi,240,35,Cash,2,No,1/15/2023,Zone 3,Slow
